wavelength,D_C,D_M,D_Y,D_min
380,0.6272,0.0750,0.0640,0.6522
385,0.6272,0.0750,0.0640,0.6522
390,0.5255,0.0688,0.1679,0.6522
395,0.4436,0.0629,0.2594,0.6522
400,0.3808,0.0579,0.3438,0.6522
405,0.3315,0.0546,0.4286,0.6522
410,0.2889,0.0531,0.5191,0.6568
415,0.2469,0.0528,0.6155,0.6846
420,0.2014,0.0529,0.7153,0.7219
425,0.1517,0.0517,0.8150,0.7526
430,0.1008,0.0479,0.9107,0.7794
435,0.0544,0.0406,0.9980,0.8017
440,0.0174,0.0294,1.0721,0.8180
445,0.0000,0.0154,1.1285,0.8250
450,0.0000,0.0004,1.1644,0.8234
455,0.0000,0.0000,1.1781,0.8116
460,0.0000,0.0000,1.1684,0.7985
465,0.0000,0.0000,1.1345,0.7971
470,0.0024,0.0000,1.0769,0.7991
475,0.0160,0.0026,0.9976,0.8012
480,0.0289,0.0522,0.9002,0.7963
485,0.0397,0.1282,0.7891,0.7666
490,0.0478,0.2303,0.6692,0.7326
495,0.0527,0.3556,0.5448,0.7083
500,0.0548,0.4984,0.4198,0.6953
505,0.0544,0.6506,0.2993,0.7068
510,0.0516,0.8032,0.1891,0.7207
515,0.0463,0.9483,0.0956,0.7154
520,0.0382,1.0794,0.0237,0.7003
525,0.0265,1.1914,0.0000,0.6756
530,0.0109,1.2790,0.0000,0.6512
535,0.0000,1.3371,0.0000,0.6398
540,0.0000,1.3619,0.0000,0.6328
545,0.0000,1.3527,0.0000,0.6262
550,0.0000,1.3118,0.0000,0.6193
555,0.0000,1.2428,0.0010,0.6109
560,0.0000,1.1492,0.0121,0.5968
565,0.0000,1.0356,0.0189,0.5701
570,0.0000,0.9087,0.0220,0.5325
575,0.0087,0.7771,0.0227,0.4807
580,0.0658,0.6495,0.0221,0.4219
585,0.1320,0.5325,0.0209,0.3600
590,0.2044,0.4294,0.0198,0.3012
595,0.2801,0.3414,0.0189,0.2538
600,0.3566,0.2685,0.0181,0.2153
605,0.4321,0.2096,0.0171,0.1901
610,0.5057,0.1629,0.0155,0.1740
615,0.5778,0.1254,0.0131,0.1649
620,0.6493,0.0949,0.0102,0.1609
625,0.7210,0.0697,0.0073,0.1592
630,0.7928,0.0489,0.0050,0.1607
635,0.8645,0.0318,0.0034,0.1637
640,0.9363,0.0177,0.0025,0.1677
645,1.0082,0.0059,0.0020,0.1715
650,1.0794,0.0000,0.0015,0.1760
655,1.1490,0.0000,0.0012,0.1815
660,1.2160,0.0000,0.0008,0.1871
665,1.2800,0.0000,0.0005,0.1920
670,1.3396,0.0000,0.0003,0.1966
675,1.3927,0.0000,0.0001,0.2014
680,1.4368,0.0000,0.0000,0.2056
685,1.4701,0.0000,0.0000,0.2095
690,1.4924,0.0000,0.0000,0.2124
695,1.5041,0.0000,0.0000,0.2137
700,1.5044,0.0000,0.0000,0.2137
705,1.4913,0.0000,0.0000,0.2137
710,1.4629,0.0000,0.0000,0.2137
715,1.4185,0.0000,0.0000,0.2137
720,1.3595,0.0000,0.0000,0.2137
725,1.2886,0.0000,0.0000,0.2137
730,1.2089,0.0000,0.0001,0.2137
