wavelength,D_C,D_M,D_Y,D_min
380,0.3401,0.0011,0.4703,0.6983
385,0.3401,0.0011,0.4703,0.6983
390,0.3401,0.0011,0.4703,0.6983
395,0.3401,0.0011,0.4703,0.6983
400,0.2966,0.0011,0.4703,0.6983
405,0.2545,0.0011,0.5634,0.6817
410,0.2112,0.0009,0.6550,0.6957
415,0.1653,0.0004,0.7488,0.7239
420,0.1172,0.0000,0.8456,0.7690
425,0.0690,0.0000,0.9432,0.7999
430,0.0246,0.0000,1.0367,0.8227
435,0.0000,0.0000,1.1189,0.8427
440,0.0000,0.0000,1.1833,0.8558
445,0.0000,0.0000,1.2249,0.8561
450,0.0000,0.0000,1.2401,0.8493
455,0.0000,0.0000,1.2270,0.8312
460,0.0000,0.0000,1.1849,0.8095
465,0.0000,0.0000,1.1146,0.7978
470,0.0000,0.0091,1.0187,0.7871
475,0.0067,0.0862,0.9014,0.7773
480,0.0190,0.1904,0.7693,0.7568
485,0.0282,0.3170,0.6297,0.7221
490,0.0344,0.4593,0.4899,0.6830
495,0.0382,0.6096,0.3563,0.6564
500,0.0404,0.7598,0.2350,0.6367
505,0.0415,0.9024,0.1314,0.6363
510,0.0414,1.0316,0.0500,0.6373
515,0.0400,1.1439,0.0000,0.6231
520,0.0368,1.2374,0.0000,0.6017
525,0.0315,1.3105,0.0000,0.5812
530,0.0243,1.3607,0.0000,0.5580
535,0.0155,1.3847,0.0000,0.5516
540,0.0060,1.3800,0.0000,0.5496
545,0.0000,1.3456,0.0000,0.5494
550,0.0000,1.2830,0.0032,0.5496
555,0.0000,1.1957,0.0139,0.5524
560,0.0000,1.0895,0.0208,0.5533
565,0.0132,0.9716,0.0248,0.5497
570,0.0392,0.8502,0.0268,0.5407
575,0.0764,0.7330,0.0278,0.5177
580,0.1252,0.6251,0.0284,0.4746
585,0.1848,0.5293,0.0289,0.4169
590,0.2537,0.4463,0.0293,0.3476
595,0.3295,0.3761,0.0297,0.2854
600,0.4091,0.3178,0.0299,0.2312
605,0.4889,0.2701,0.0300,0.1945
610,0.5663,0.2310,0.0300,0.1715
615,0.6397,0.1988,0.0300,0.1548
620,0.7089,0.1717,0.0300,0.1486
625,0.7742,0.1487,0.0300,0.1435
630,0.8360,0.1291,0.0301,0.1417
635,0.8946,0.1124,0.0301,0.1413
640,0.9505,0.0982,0.0300,0.1414
645,1.0041,0.0861,0.0296,0.1423
650,1.0551,0.0757,0.0290,0.1430
655,1.1026,0.0667,0.0280,0.1436
660,1.1453,0.0588,0.0267,0.1446
665,1.1827,0.0520,0.0253,0.1452
670,1.2143,0.0461,0.0239,0.1453
675,1.2393,0.0410,0.0225,0.1453
680,1.2570,0.0366,0.0211,0.1453
685,1.2666,0.0329,0.0198,0.1462
690,1.2672,0.0297,0.0185,0.1453
695,1.2583,0.0272,0.0172,0.1452
700,1.2397,0.0251,0.0160,0.1444
705,1.2112,0.0234,0.0149,0.1429
710,1.1730,0.0221,0.0138,0.1414
715,1.1262,0.0210,0.0129,0.1399
720,1.0722,0.0202,0.0120,0.1380
725,1.0129,0.0196,0.0113,0.1363
730,0.9496,0.0191,0.0108,0.1326
