wavelength,D_C,D_M,D_Y,D_min
380,0.2019,0.0000,0.6179,0.5971
385,0.2019,0.0000,0.6179,0.5971
390,0.2019,0.0000,0.6179,0.5971
395,0.2019,0.0000,0.6179,0.5971
400,0.2019,0.0000,0.6179,0.5971
405,0.2019,0.0000,0.6179,0.6263
410,0.1538,0.0000,0.7275,0.6673
415,0.1023,0.0000,0.8367,0.7089
420,0.0507,0.0000,0.9430,0.7512
425,0.0029,0.0000,1.0428,0.7902
430,0.0000,0.0000,1.1317,0.8236
435,0.0000,0.0000,1.2041,0.8494
440,0.0000,0.0000,1.2550,0.8637
445,0.0000,0.0000,1.2805,0.8653
450,0.0000,0.0000,1.2783,0.8573
455,0.0000,0.0000,1.2463,0.8446
460,0.0000,0.0000,1.1839,0.8301
465,0.0000,0.0000,1.0922,0.8160
470,0.0000,0.0742,0.9755,0.8022
475,0.0000,0.1899,0.8405,0.7856
480,0.0053,0.3230,0.6958,0.7652
485,0.0111,0.4635,0.5503,0.7420
490,0.0155,0.6026,0.4126,0.7207
495,0.0193,0.7351,0.2900,0.7165
500,0.0228,0.8589,0.1877,0.7191
505,0.0260,0.9743,0.1088,0.7261
510,0.0289,1.0817,0.0540,0.7224
515,0.0315,1.1809,0.0221,0.6824
520,0.0334,1.2694,0.0095,0.6336
525,0.0347,1.3425,0.0115,0.5914
530,0.0352,1.3939,0.0228,0.5570
535,0.0353,1.4182,0.0384,0.5441
540,0.0354,1.4117,0.0540,0.5376
545,0.0365,1.3733,0.0669,0.5301
550,0.0394,1.3047,0.0750,0.5248
555,0.0450,1.2105,0.0780,0.5229
560,0.0546,1.0973,0.0762,0.5235
565,0.0698,0.9728,0.0708,0.5295
570,0.0922,0.8448,0.0632,0.5357
575,0.1240,0.7208,0.0547,0.5360
580,0.1667,0.6065,0.0461,0.5226
585,0.2210,0.5058,0.0379,0.4693
590,0.2859,0.4204,0.0304,0.4113
595,0.3587,0.3496,0.0238,0.3501
600,0.4358,0.2918,0.0182,0.2982
605,0.5137,0.2447,0.0138,0.2672
610,0.5899,0.2064,0.0103,0.2493
615,0.6629,0.1752,0.0075,0.2456
620,0.7317,0.1498,0.0052,0.2419
625,0.7958,0.1289,0.0031,0.2264
630,0.8549,0.1117,0.0014,0.2073
635,0.9094,0.0976,0.0000,0.1863
640,0.9597,0.0861,0.0000,0.1686
645,1.0060,0.0770,0.0000,0.1612
650,1.0483,0.0699,0.0000,0.1565
655,1.0864,0.0642,0.0000,0.1529
660,1.1201,0.0598,0.0000,0.1505
665,1.1489,0.0562,0.0000,0.1479
670,1.1719,0.0533,0.0000,0.1459
675,1.1885,0.0510,0.0000,0.1438
680,1.1980,0.0493,0.0000,0.1419
685,1.1999,0.0483,0.0000,0.1404
690,1.1937,0.0479,0.0000,0.1389
695,1.1792,0.0480,0.0000,0.1367
700,1.1564,0.0485,0.0000,0.1348
705,1.1256,0.0491,0.0000,0.1331
710,1.0873,0.0497,0.0000,0.1312
715,1.0420,0.0500,0.0000,0.1276
720,0.9903,0.0501,0.0000,0.1245
725,0.9333,0.0499,0.0000,0.1214
730,0.8722,0.0494,0.0003,0.1178
