wavelength,D_C,D_M,D_Y,D_min
380,0.4039,0.0667,0.1315,0.6887
385,0.4039,0.0667,0.1315,0.6887
390,0.3678,0.0606,0.2251,0.6887
395,0.3346,0.0551,0.3117,0.6887
400,0.3015,0.0507,0.3965,0.6887
405,0.2645,0.0474,0.4853,0.6687
410,0.2214,0.0447,0.5801,0.6741
415,0.1733,0.0417,0.6794,0.7048
420,0.1245,0.0370,0.7800,0.7389
425,0.0800,0.0296,0.8782,0.7702
430,0.0432,0.0189,0.9697,0.7939
435,0.0155,0.0052,1.0499,0.8090
440,0.0000,0.0000,1.1137,0.8166
445,0.0000,0.0000,1.1577,0.8180
450,0.0000,0.0000,1.1795,0.8150
455,0.0000,0.0000,1.1774,0.8078
460,0.0000,0.0000,1.1499,0.7993
465,0.0000,0.0000,1.0966,0.7904
470,0.0096,0.0312,1.0184,0.7816
475,0.0193,0.0898,0.9185,0.7730
480,0.0278,0.1702,0.8018,0.7636
485,0.0344,0.2709,0.6745,0.7524
490,0.0391,0.3886,0.5433,0.7438
495,0.0420,0.5187,0.4146,0.7475
500,0.0432,0.6552,0.2945,0.7594
505,0.0427,0.7911,0.1890,0.7757
510,0.0404,0.9204,0.1028,0.7876
515,0.0361,1.0384,0.0388,0.7706
520,0.0294,1.1413,0.0000,0.7388
525,0.0201,1.2261,0.0000,0.6991
530,0.0084,1.2888,0.0000,0.6600
535,0.0000,1.3252,0.0000,0.6380
540,0.0000,1.3323,0.0000,0.6237
545,0.0000,1.3103,0.0000,0.6125
550,0.0000,1.2614,0.0025,0.6024
555,0.0000,1.1883,0.0113,0.5914
560,0.0000,1.0941,0.0172,0.5765
565,0.0000,0.9829,0.0205,0.5523
570,0.0199,0.8609,0.0218,0.5195
575,0.0629,0.7360,0.0217,0.4752
580,0.1165,0.6161,0.0209,0.4248
585,0.1792,0.5066,0.0199,0.3705
590,0.2483,0.4102,0.0191,0.3187
595,0.3209,0.3280,0.0185,0.2756
600,0.3941,0.2598,0.0177,0.2413
605,0.4663,0.2046,0.0163,0.2192
610,0.5370,0.1606,0.0143,0.2054
615,0.6065,0.1254,0.0116,0.1975
620,0.6749,0.0966,0.0086,0.1936
625,0.7423,0.0728,0.0059,0.1908
630,0.8087,0.0532,0.0040,0.1889
635,0.8745,0.0371,0.0029,0.1881
640,0.9398,0.0239,0.0022,0.1888
645,1.0045,0.0129,0.0017,0.1912
650,1.0676,0.0036,0.0013,0.1946
655,1.1285,0.0000,0.0010,0.1976
660,1.1868,0.0000,0.0007,0.2009
665,1.2418,0.0000,0.0004,0.2049
670,1.2918,0.0000,0.0002,0.2090
675,1.3346,0.0000,0.0001,0.2121
680,1.3684,0.0000,0.0000,0.2151
685,1.3925,0.0000,0.0000,0.2183
690,1.4074,0.0000,0.0000,0.2203
695,1.4131,0.0000,0.0000,0.2210
700,1.4082,0.0000,0.0000,0.2204
705,1.3910,0.0000,0.0000,0.2204
710,1.3599,0.0000,0.0000,0.2204
715,1.3153,0.0000,0.0000,0.2204
720,1.2586,0.0000,0.0000,0.2204
725,1.1924,0.0000,0.0000,0.2204
730,1.1191,0.0000,0.0001,0.2204
